input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
brazil58,Standard ACO,5,2000,1_over_distance,1.0,0.9,0.4,None,32597.0,40.677
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.4,None,31756.0,36.981
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.4,None,30584.0,45.695
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.0,0.4,None,31148.0,44.886
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.5,0.4,None,28483.0,39.552
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.5,0.4,None,47638.0,27.581
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.6,0.4,None,43748.0,27.911
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.7,0.4,None,43335.0,28.077
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.8,0.4,None,36228.0,30.688
brazil58,Standard ACO,5,2000,1_over_distance,1.5,0.9,0.4,None,41328.0,36.911
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.0,0.4,None,34519.0,47.195
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.5,0.4,None,33844.0,46.455
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.0,0.4,None,30008.0,51.075
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.5,0.4,None,29744.0,43.588
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.5,0.4,None,49767.0,43.782
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.6,0.4,None,52807.0,43.312
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.7,0.4,None,47492.0,57.531
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.8,0.4,None,43664.0,57.384
brazil58,Standard ACO,5,2000,1_over_distance,2.0,0.9,0.4,None,36633.0,44.774
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.0,0.4,None,37555.0,63.606
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.5,0.4,None,34680.0,40.383
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.0,0.4,None,34736.0,43.406
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.5,0.4,None,28913.0,37.184
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.5,0.4,None,69216.0,49.54
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.6,0.4,None,50223.0,44.638
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.7,0.4,None,54438.0,43.855
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.8,0.4,None,43981.0,44.185
